counterbalance_2.started,counterbalance_2.stopped,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,information_2.started,information_2.stopped,information_loop.thisRepN,information_loop.thisTrialN,information_loop.thisN,information_loop.thisIndex,information_loop.ran,information,consent_2.started,consent_2.stopped,slider_1.response,slider_2.response,slider_3.response,slider_4.response,slider_5.response,slider_6.response,instructions.started,instructions.stopped,task1_instr.thisRepN,task1_instr.thisTrialN,task1_instr.thisN,task1_instr.thisIndex,task1_instr.ran,task1,comprehension1_2.started,comprehension1_2.stopped,comp1_mouse.x,comp1_mouse.y,comp1_mouse.leftButton,comp1_mouse.midButton,comp1_mouse.rightButton,comp1_mouse.time,comp1_mouse.clicked_name,cue_o__trial_2.started,cue_o__trial_2.stopped,order,cue_order,out_order,cue_o_mouse.x,cue_o_mouse.y,cue_o_mouse.leftButton,cue_o_mouse.midButton,cue_o_mouse.rightButton,cue_o_mouse.time,cue_o_mouse.clicked_name,cue_selection_2.started,correct_answer,cue_selection_2.stopped,feedback_2.started,feedback_2.stopped,feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,feedback_loop.ran,stage1_trials.thisRepN,stage1_trials.thisTrialN,stage1_trials.thisN,stage1_trials.thisIndex,stage1_trials.ran,cue1,cue2,cue3,outcome,correct_out,o1_feedback,o2_feedback,stage2_feedback_loop.thisRepN,stage2_feedback_loop.thisTrialN,stage2_feedback_loop.thisN,stage2_feedback_loop.thisIndex,stage2_feedback_loop.ran,stage2_trials.thisRepN,stage2_trials.thisTrialN,stage2_trials.thisN,stage2_trials.thisIndex,stage2_trials.ran,stage3_feedback_loop.thisRepN,stage3_feedback_loop.thisTrialN,stage3_feedback_loop.thisN,stage3_feedback_loop.thisIndex,stage3_feedback_loop.ran,stage3_trials.thisRepN,stage3_trials.thisTrialN,stage3_trials.thisN,stage3_trials.thisIndex,stage3_trials.ran,debrief_2.started,debrief_2.stopped,debrief_loop.thisRepN,debrief_loop.thisTrialN,debrief_loop.thisN,debrief_loop.thisIndex,debrief_loop.ran,debrief_img,compr1_completed.thisRepN,compr1_completed.thisTrialN,compr1_completed.thisN,compr1_completed.thisIndex,compr1_completed.ran,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran
0.0006,0.0008,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,0.0287,19.1544,0,0,0,0,1,instructions/info1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,19.155,28.1984,0,1,1,1,1,instructions/info2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,28.2006,53.6115,0,2,2,2,1,instructions/info3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,,,,,,,,,53.6194,85.6266,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,,,,,,,,,,,,,,,,,85.6398,108.5965,0,0,0,0,1,instructions/task1_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,,,,,,,,,,,,,,,,,108.6074,135.5713,0,1,1,1,1,instructions/task1_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,,,,,,,,,,,,,,,,,135.5787,159.7921,0,2,2,2,1,instructions/task1_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,,,,,,,,,,,,,,,,,,,,,,,,,159.7932,180.7816,-0.188194444,-0.325,1,0,0,20.9875,comp1_resp1,180.807,189.7849,"[2,7,5,3,4,1,8,6]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.121527778,-0.202777778,1,0,0,8.3569,o1_image,189.8055,1,189.8083,189.8085,191.3574,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5be59ce3520a3300010e28a9,35,female,2024-04-24_11h33.33.762,stockport_simplified,2022.2.4,Win32,15.01501502,661e456ee6de07e70aa9ef7b,6628df8841f59130a2be9d84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,1,A,Y,N,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
