counterbalance_2.started,counterbalance_2.stopped,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,information_2.started,information_2.stopped,information_loop.thisRepN,information_loop.thisTrialN,information_loop.thisN,information_loop.thisIndex,information_loop.ran,information,consent_2.started,consent_2.stopped,slider_1.response,slider_2.response,slider_3.response,slider_4.response,slider_5.response,slider_6.response,instructions.started,instructions.stopped,task1_instr.thisRepN,task1_instr.thisTrialN,task1_instr.thisN,task1_instr.thisIndex,task1_instr.ran,task1,comprehension1_2.started,comprehension1_2.stopped,comp1_mouse.x,comp1_mouse.y,comp1_mouse.leftButton,comp1_mouse.midButton,comp1_mouse.rightButton,comp1_mouse.time,comp1_mouse.clicked_name,cue_o__trial_2.started,cue_o__trial_2.stopped,order,cue_order,out_order,cue_o_mouse.x,cue_o_mouse.y,cue_o_mouse.leftButton,cue_o_mouse.midButton,cue_o_mouse.rightButton,cue_o_mouse.time,cue_o_mouse.clicked_name,cue_selection_2.started,correct_answer,cue_selection_2.stopped,feedback_2.started,feedback_2.stopped,feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,feedback_loop.ran,stage1_trials.thisRepN,stage1_trials.thisTrialN,stage1_trials.thisN,stage1_trials.thisIndex,stage1_trials.ran,cue1,cue2,cue3,outcome,correct_out,o1_feedback,o2_feedback,stage2_feedback_loop.thisRepN,stage2_feedback_loop.thisTrialN,stage2_feedback_loop.thisN,stage2_feedback_loop.thisIndex,stage2_feedback_loop.ran,stage2_trials.thisRepN,stage2_trials.thisTrialN,stage2_trials.thisN,stage2_trials.thisIndex,stage2_trials.ran,stage3_feedback_loop.thisRepN,stage3_feedback_loop.thisTrialN,stage3_feedback_loop.thisN,stage3_feedback_loop.thisIndex,stage3_feedback_loop.ran,stage3_trials.thisRepN,stage3_trials.thisTrialN,stage3_trials.thisN,stage3_trials.thisIndex,stage3_trials.ran,debrief_2.started,debrief_2.stopped,debrief_loop.thisRepN,debrief_loop.thisTrialN,debrief_loop.thisN,debrief_loop.thisIndex,debrief_loop.ran,debrief_img,compr1_completed.thisRepN,compr1_completed.thisTrialN,compr1_completed.thisN,compr1_completed.thisIndex,compr1_completed.ran,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran
0.0001,0.0003,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,0.0125,22.0528,0,0,0,0,1,instructions/info1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,22.0531,28.8687,0,1,1,1,1,instructions/info2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,28.8736,33.857,0,2,2,2,1,instructions/info3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,,,,,,,,,33.862,51.451,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,,,,,,,,,,,,,,,,,51.4548,71.5922,0,0,0,0,1,instructions/task1_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,,,,,,,,,,,,,,,,,71.5974,84.3837,0,1,1,1,1,instructions/task1_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,,,,,,,,,,,,,,,,,84.3888,102.9109,0,2,2,2,1,instructions/task1_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,,,,,,,,,,,,,,,,,,,,,,,,,102.9114,120.8519,0.096296296,-0.322222222,1,0,0,17.9401,comp1_resp1,120.8633,125.7605,"[3,8,6,1,4,2,7,5]","[[-0.3,0.2],[0.3,0.2]]","[[-0.125,-0.2],[0.125,-0.2]]",-0.12962963,-0.200925926,1,0,0,4.3882,o1_image,125.7656,1,126.2671,126.2672,128.2581,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5ead89a08a4c3741712fb05b,42,male,2024-04-19_18h40.58.953,stockport_simplified,2022.2.4,Win32,75.18796992,661e456ee6de07e70aa9ef7b,66229d97fbe898816def3226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,30,1,A,X,N,o1_image,stimuli/out1.png,stimuli/correct_out1.png,stimuli/out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
