counterbalance_2.started,counterbalance_2.stopped,participant,age,gender,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,information_2.started,information_2.stopped,information_loop.thisRepN,information_loop.thisTrialN,information_loop.thisN,information_loop.thisIndex,information_loop.ran,information,consent_2.started,consent_2.stopped,slider_1.response,slider_2.response,slider_3.response,slider_4.response,slider_5.response,slider_6.response,instructions.started,instructions.stopped,task1_instr.thisRepN,task1_instr.thisTrialN,task1_instr.thisN,task1_instr.thisIndex,task1_instr.ran,task1,comprehension1_2.started,comprehension1_2.stopped,comp1_mouse.x,comp1_mouse.y,comp1_mouse.leftButton,comp1_mouse.midButton,comp1_mouse.rightButton,comp1_mouse.time,comp1_mouse.clicked_name,cue_o__trial_2.started,cue_o__trial_2.stopped,order,cue_order,out_order,cue_o_mouse.x,cue_o_mouse.y,cue_o_mouse.leftButton,cue_o_mouse.midButton,cue_o_mouse.rightButton,cue_o_mouse.time,cue_o_mouse.clicked_name,cue_selection_2.started,correct_answer,cue_selection_2.stopped,feedback_2.started,feedback_2.stopped,feedback_loop.thisRepN,feedback_loop.thisTrialN,feedback_loop.thisN,feedback_loop.thisIndex,feedback_loop.ran,stage1_trials.thisRepN,stage1_trials.thisTrialN,stage1_trials.thisN,stage1_trials.thisIndex,stage1_trials.ran,cue1,cue2,cue3,outcome,correct_out,o1_feedback,o2_feedback,stage2_feedback_loop.thisRepN,stage2_feedback_loop.thisTrialN,stage2_feedback_loop.thisN,stage2_feedback_loop.thisIndex,stage2_feedback_loop.ran,stage2_trials.thisRepN,stage2_trials.thisTrialN,stage2_trials.thisN,stage2_trials.thisIndex,stage2_trials.ran,stage3_feedback_loop.thisRepN,stage3_feedback_loop.thisTrialN,stage3_feedback_loop.thisN,stage3_feedback_loop.thisIndex,stage3_feedback_loop.ran,stage3_trials.thisRepN,stage3_trials.thisTrialN,stage3_trials.thisN,stage3_trials.thisIndex,stage3_trials.ran,debrief_2.started,debrief_2.stopped,debrief_loop.thisRepN,debrief_loop.thisTrialN,debrief_loop.thisN,debrief_loop.thisIndex,debrief_loop.ran,debrief_img,compr1_completed.thisRepN,compr1_completed.thisTrialN,compr1_completed.thisN,compr1_completed.thisIndex,compr1_completed.ran,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran
0.0005,0.0008,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,0.0259,14.7313,0,0,0,0,1,instructions/info1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,14.7321,17.4513,0,1,1,1,1,instructions/info2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,17.4515,35.7288,0,2,2,2,1,instructions/info3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,,,,,,,,,35.7386,64.6746,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,,,,,,,,,,,,,,,,,64.6933,88.1666,0,0,0,0,1,instructions/task1_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,,,,,,,,,,,,,,,,,88.1751,104.4681,0,1,1,1,1,instructions/task1_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,,,,,,,,,,,,,,,,,104.477,138.1795,0,2,2,2,1,instructions/task1_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,,,,,,,,,,,,,,,,,,,,,,,,,138.1802,159.5286,0.001966568,-0.328908555,1,0,0,21.3476,comp1_resp1,159.5678,163.8304,"[7,3,6,2,4,8,1,5]","[[-0.3,0.2],[0.3,0.2]]","[[0.125,-0.2],[-0.125,-0.2]]",0.142576205,-0.220747296,1,0,0,3.6043,o1_image,163.8413,0,164.267,164.2671,166.2618,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63b6bfc861dd62d55125a428,42,male,2024-04-24_12h32.44.469,stockport_simplified,2022.2.4,Linux x86_64,4.285628573,661e456ee6de07e70aa9ef7b,6628df8aee7521f2090bf142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,12,1,B,X,N,o2_image,stimuli/out2.png,stimuli/out1.png,stimuli/correct_out2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
